prefixed_root,unprefixed_root,hom,prefixed_root_IAST,unprefixed_root_IAST
AruD,ruD,2,ārudh,rudh
Aruh,ruh,,āruh,ruh
Alakz,lakz,,ālakṣ,lakṣ
Alag,lag,,ālag,lag
AlaB,laB,,ālabh,labh
Alamb,lamb,,ālamb,lamb
Alaz,laz,,ālaṣ,laṣ
AliK,liK,,ālikh,likh
AliNg,liNg,,āliṅg,liṅg
Alip,lip,,ālip,lip
Alih,lih,,ālih,lih
AlI,lI,,ālī,lī
AluYc,luYc,,āluñc,luñc
Aluq,luq,,āluḍ,luḍ
Alup,lup,,ālup,lup
AluB,luB,,ālubh,lubh
AlU,lU,,ālū,lū
Alok,lok,,ālok,lok
Aloc,loc,,āloc,loc
Avac,vac,,āvac,vac
Avad,vad,,āvad,vad
AvaD,vaD,,āvadh,vadh
Avan,van,,āvan,van
Avap,vap,2,āvap,vap
Avalg,valg,,āvalg,valg
Avas,vas,5,āvas,vas
Avah,vah,,āvah,vah
AvA,vA,,āvā,vā
Avitan,tan,,āvitan,tan
Avid,vid,1,āvid,vid
Avid,vid,3,āvid,vid
AviBA,BA,,āvibhā,bhā
AviS,viS,,āviś,viś
Avihan,han,,āvihan,han
AvI,vI,,āvī,vī
Avf,vf,1,āvṛ,vṛ
Avf,vf,2,āvṛ,vṛ
Avfj,vfj,,āvṛj,vṛj
Avft,vft,,āvṛt,vṛt
AvfD,vfD,,āvṛdh,vṛdh
Avfz,vfz,,āvṛṣ,vṛṣ
Avfh,vfh,,āvṛh,vṛh
Ave,ve,,āve,ve
Ave,i,,āve,i
Avezw,vezw,,āveṣṭ,veṣṭ
AvyaD,vyaD,,āvyadh,vyadh
Avye,vye,,āvye,vye
Avraj,vraj,,āvraj,vraj
AvraSc,vraSc,,āvraśc,vraśc
AS,aS,,āś,aś
ASaMs,SaMs,,āśaṃs,śaṃs
ASak,Sak,,āśak,śak
ASaNk,SaNk,,āśaṅk,śaṅk
ASAs,SAs,,āśās,śās
ASi,Si,,āśi,śi
ASI,SI,,āśī,śī
ASuc,Suc,,āśuc,śuc
ASuz,Suz,,āśuṣ,śuṣ
ASyE,SyE,,āśyai,śyai
ASri,Sri,,āśri,śri
ASrI,SrI,,āśrī,śrī
ASru,Sru,,āśru,śru
ASlaT,SlaT,,āślath,ślath
ASliz,Sliz,,āśliṣ,śliṣ
ASvas,Svas,,āśvas,śvas
As,as,,ās,as
Asac,sac,,āsac,sac
AsaYj,saYj,,āsañj,sañj
Asad,sad,,āsad,sad
Asan,san,,āsan,san
Asi,si,,āsi,si
Asic,sic,,āsic,sic
Asiv,siv,,āsiv,siv
Asu,su,3,āsu,su
AsU,sU,,āsū,sū
Asf,sf,,āsṛ,sṛ
Asfj,sfj,,āsṛj,sṛj
