form,root,pos,modification,form_IAST,root_IAST
tazwvA,takz,gerund,,taṣṭvā,takṣ
tAqayitvA,taq,gerund,caus,tāḍayitvā,taḍ
tApayitvA,tap,gerund,caus,tāpayitvā,tap
tArayitvA,tF,gerund,caus,tārayitvā,tṝ
tiktvA,tij,gerund,,tiktvā,tij
titikzitvA,tij,gerund,desid,titikṣitvā,tij
titIrzitvA,tF,gerund,desid,titīrṣitvā,tṝ
tirasyitvA,tiras,gerund,,tirasyitvā,tiras
tIrtvA,tF,gerund,,tīrtvā,tṝ
tuttvA,tud#1,gerund,,tuttvā,tud#1
tuptvA,tup,gerund,,tuptvā,tup
tulayitvA,tul,gerund,,tulayitvā,tul
tuzwUzitvA,stu,gerund,desid,tuṣṭūṣitvā,stu
tuzwvA,tuz,gerund,,tuṣṭvā,tuṣ
tuhinayitvA,tuhina,gerund,,tuhinayitvā,tuhina
tUrtvA,tvar,gerund,,tūrtvā,tvar
tfttvA,tfd,gerund,,tṛttvā,tṛd
tfptvA,tfp#1,gerund,,tṛptvā,tṛp#1
tejayitvA,tij,gerund,caus,tejayitvā,tij
tozayitvA,tuz,gerund,caus,toṣayitvā,tuṣ
tyaktvA,tyaj#1,gerund,,tyaktvā,tyaj#1
tyAjayitvA,tyaj#1,gerund,caus,tyājayitvā,tyaj#1
trapayitvA,trap,gerund,caus,trapayitvā,trap
trapitvA,trap,gerund,,trapitvā,trap
traptvA,trap,gerund,,traptvā,trap
trastvA,tras,gerund,,trastvā,tras
trAtvA,trE,gerund,,trātvā,trai
trAsayitvA,tras,gerund,caus,trāsayitvā,tras
truwitvA,truw,gerund,,truṭitvā,truṭ
trowayitvA,truw,gerund,caus,troṭayitvā,truṭ
trowitvA,truw,gerund,,troṭitvā,truṭ
tvakzitvA,tvakz,gerund,,tvakṣitvā,tvakṣ
tvarayitvA,tvar,gerund,caus,tvarayitvā,tvar
tvaritvA,tvar,gerund,,tvaritvā,tvar
tvazwvA,tvakz,gerund,,tvaṣṭvā,tvakṣ
tvizitvA,tviz#1,gerund,,tviṣitvā,tviṣ#1
tvezitvA,tviz#1,gerund,,tveṣitvā,tviṣ#1
