Root,Class,Derivation,Tense,Voice,Person,Number,Expected (INRIA),Actual (FST)
budh,1 (desiderative),desiderative,optative,active,2,du,bubhutsetam OR bubhodhiṣetam,bubhodhiṣetam
budh,1 (desiderative),desiderative,optative,active,2,pl,bubhutseta OR bubhodhiṣeta,bubhodhiṣeta
budh,1 (desiderative),desiderative,optative,active,3,sg,bubhutset OR bubhodhiṣet,bubhodhiṣet
budh,1 (desiderative),desiderative,optative,active,3,du,bubhutsetām OR bubhodhiṣetām,bubhodhiṣetām
budh,1 (desiderative),desiderative,optative,active,3,pl,bubhutseyuḥ OR bubhodhiṣeyuḥ,bubhodhiṣeyuḥ
budh,1 (desiderative),desiderative,optative,passive,1,sg,bubhutsyeya OR bubhodiṣyeya OR bubhodhiṣyeya,bubhodhiṣyeya
budh,1 (desiderative),desiderative,optative,passive,1,du,bubhutsyevahi OR bubhodiṣyevahi OR bubhodhiṣyevahi,bubhodhiṣyevahi
budh,1 (desiderative),desiderative,optative,passive,1,pl,bubhutsyemahi OR bubhodiṣyemahi OR bubhodhiṣyemahi,bubhodhiṣyemahi
budh,1 (desiderative),desiderative,optative,passive,2,sg,bubhutsyethāḥ OR bubhodiṣyethāḥ OR bubhodhiṣyethāḥ,bubhodhiṣyethāḥ
budh,1 (desiderative),desiderative,optative,passive,2,du,bubhutsyeyāthām OR bubhodiṣyeyāthām OR bubhodhiṣyeyāthām,bubhodhiṣyeyāthām
budh,1 (desiderative),desiderative,optative,passive,2,pl,bubhutsyedhvam OR bubhodiṣyedhvam OR bubhodhiṣyedhvam,bubhodhiṣyedhvam
budh,1 (desiderative),desiderative,optative,passive,3,sg,bubhutsyeta OR bubhodiṣyeta OR bubhodhiṣyeta,bubhodhiṣyeta
budh,1 (desiderative),desiderative,optative,passive,3,du,bubhutsyeyātām OR bubhodiṣyeyātām OR bubhodhiṣyeyātām,bubhodhiṣyeyātām
budh,1 (desiderative),desiderative,optative,passive,3,pl,bubhutsyeran OR bubhodiṣyeran OR bubhodhiṣyeran,bubhodhiṣyeran
budh,1 (desiderative),desiderative,future,active,1,sg,bubhutsyāmi OR bubhodhiṣyāmi,bubhodhiṣyāmi
budh,1 (desiderative),desiderative,future,active,1,du,bubhutsyāvaḥ OR bubhodhiṣyāvaḥ,bubhodhiṣyāvaḥ
budh,1 (desiderative),desiderative,future,active,1,pl,bubhutsyāmaḥ OR bubhodhiṣyāmaḥ,bubhodhiṣyāmaḥ
budh,1 (desiderative),desiderative,future,active,2,sg,bubhutsyasi OR bubhodhiṣyasi,bubhodhiṣyasi
budh,1 (desiderative),desiderative,future,active,2,du,bubhutsyathaḥ OR bubhodhiṣyathaḥ,bubhodhiṣyathaḥ
budh,1 (desiderative),desiderative,future,active,2,pl,bubhutsyatha OR bubhodhiṣyatha,bubhodhiṣyatha
budh,1 (desiderative),desiderative,future,active,3,sg,bubhutsyati OR bubhodhiṣyati,bubhodhiṣyati
budh,1 (desiderative),desiderative,future,active,3,du,bubhutsyataḥ OR bubhodhiṣyataḥ,bubhodhiṣyataḥ
budh,1 (desiderative),desiderative,future,active,3,pl,bubhutsyanti OR bubhodhiṣyanti,bubhodhiṣyanti
budh,1 (desiderative),desiderative,perfect,active,1,du,bububhutsiva OR bububhodhiṣiva,bububhodhiṣiva
budh,1 (desiderative),desiderative,perfect,active,1,pl,bububhutsima OR bububhodhiṣima,bububhodhiṣima
budh,1 (desiderative),desiderative,perfect,active,2,sg,bububhutsitha OR bububhodhiṣitha,bububhodhiṣitha
budh,1 (desiderative),desiderative,perfect,active,2,du,bububhutsathuḥ OR bububhodhiṣathuḥ,bububhodhiṣathuḥ
budh,1 (desiderative),desiderative,perfect,active,2,pl,bububhutsa OR bububhodhiṣa,bububhodhiṣa
budh,1 (desiderative),desiderative,perfect,active,3,du,bububhutsatuḥ OR bububhodhiṣatuḥ,bububhodhiṣatuḥ
budh,1 (desiderative),desiderative,perfect,active,3,pl,bububhutsuḥ OR bububhodhiṣuḥ,bububhodhiṣuḥ
